,plot,director,actors,rated,genre,imdb_rating,title
199,A young woman separated from her lover by war faces a life-altering decision.,Jacques Demy,"Catherine Deneuve, Nino Castelnuovo, Anne Vernon, Marc Michel",NOT RATED,"Drama, Musical, Romance",7.8,The Umbrellas of Cherbourg
200,John Netherwood and his wife Leann are fugitives who are both wanted for murder. They have a young daughter named Janie. John and Leann are in the process of robbing a house when the two ...,Wesley Strick,"Daryl Hannah, Keith Carradine, Moira Kelly, Vincent Spano",R,"Crime, Drama, Thriller",5.0,The Tie That Binds
201,"In an unexplained act of charity, Jeanne Holman, picks up an injured, apparent tramp and takes him home to care for him little realising who he was or the effect he would have on her life and those of her family.",Martha Coolidge,"Patrick Swayze, Mary Elizabeth Mastrantonio, Joseph Mazzello, Seth Mumy",PG,"Drama, Fantasy",6.2,Three Wishes
202,"Young, wild poet Arthur Rimbaud and his mentor Paul Verlaine engage in a fierce, forbidden romance while feeling the effects of a hellish artistic lifestyle.",Agnieszka Holland,"Leonardo DiCaprio, David Thewlis, Romane Bohringer, Dominique Blanc",R,"Biography, Drama, Romance",6.6,Total Eclipse
203,"Three drag queens travel cross-country until their car breaks down, leaving them stranded in a small town.",Beeban Kidron,"Wesley Snipes, Patrick Swayze, John Leguizamo, Stockard Channing",PG-13,"Comedy, Drama",6.4,"To Wong Foo Thanks for Everything, Julie Newmar"
204,"Casey Ryback hops on a Colorado to LA train to start a vacation with his niece. Early into the trip, terrorists board the train and use it as a mobile HQ to hijack a top secret destructive US satellite.",Geoff Murphy,"Steven Seagal, Eric Bogosian, Everett McGill, Katherine Heigl",R,"Action, Thriller",5.4,Under Siege 2: Dark Territory
205,"Steven Lidz, unhappy with his home life since his mother got sick, goes and lives with his two crazy Uncles. There he changes and gets closer to his Uncles, but his parents want him home ...",Diane Keaton,"Andie MacDowell, John Turturro, Michael Richards, Maury Chaykin",PG,"Comedy, Drama",6.7,Unstrung Heroes
206,"Isaac Mizrahi, one of the most successful designers in high fashion, plans his fall 1994 collection. He combines inspirations such as the Hollywood Eskimo look, the Mary Tyler Moore show, ...",Douglas Keeve,"Roseanne Barr, Sandra Bernhard, Robert Best, Natane Boudreau",R,Documentary,6.4,Unzipped
207,A married soldier returning from World War II poses as a pregnant woman's husband to save her from her father's anger and honor.,Alfonso Arau,"Keanu Reeves, Aitana Sánchez-Gijón, Anthony Quinn, Giancarlo Giannini",PG-13,"Drama, Romance",6.7,A Walk in the Clouds
208,"In a future where the polar ice-caps have melted and Earth is almost entirely submerged, a mutated mariner fights starvation and outlaw ""smokers,"" and reluctantly helps a woman and a young girl try to find dry land.",Kevin Reynolds,"Kevin Costner, Chaim Jeraffi, Rick Aviles, R.D. Call",PG-13,"Action, Adventure, Sci-Fi",6.1,Waterworld
209,"The story takes place in alternative America where the blacks are members of social elite, and whites are inhabitants of inner city ghettos. Louis Pinnock is a white worker in a chocolate ...",Desmond Nakano,"John Travolta, Harry Belafonte, Kelly Lynch, Margaret Avery",R,"Drama, Thriller",5.2,White Man's Burden
211,"Andrew Crocker-Harris is an embittered and disliked teacher of Greek and Latin at a British public school. After nearly 20 years of service, he is being forced to retire on the pretext of ...",Mike Figgis,"Albert Finney, Greta Scacchi, Matthew Modine, Julian Sands",R,Drama,7.3,The Browning Version
213,"Russia, 1936: revolutionary hero Colonel Kotov is spending an idyllic summer in his village with his young wife and six-year-old daughter Nadia and other assorted family and friends. Things...",Nikita Mikhalkov,"Oleg Menshikov, Nikita Mikhalkov, Ingeborga Dapkunaite, Nadezhda Mikhalkova",R,"Drama, War",8.0,Burnt by the Sun
214,"In the republic of Macedonia, amid war in Bosnia, an Albanian girl being hunted by Christians is offered protection by a monk who has taken a vow of silence.",Milcho Manchevski,"Grégoire Colin, Josif Josifovski, Boris Delcevski, Dejan Velkov",NOT RATED,"Drama, War",8.1,Before the Rain
215,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",Richard Linklater,"Ethan Hawke, Julie Delpy, Andrea Eckert, Hanno Pöschl",R,"Drama, Romance",8.1,Before Sunrise
216,"In order to inherit his fed up father's hotel empire, an immature and lazy man must repeat grades 1-12 all over again.",Tamra Davis,"Adam Sandler, Darren McGavin, Bridgette Wilson-Sampras, Bradley Whitford",PG-13,Comedy,6.4,Billy Madison
217,A teenage babysitter is the focus of two boys and a man's separate obsessions.,Guy Ferland,"Alicia Silverstone, Jeremy London, J.T. Walsh, Lee Garlington",R,"Drama, Thriller",4.3,The Babysitter
218,"Jane is a night club singer, out of work. Robin is a quirky real estate agent looking for a ride-share to accompany her to California. Her advertisement is answered by Jane, who at first ...",Herbert Ross,"Whoopi Goldberg, Mary-Louise Parker, Drew Barrymore, Matthew McConaughey",R,"Comedy, Drama",6.4,Boys on the Side
219,"Erik, a loner, finds a friend in Dexter, an eleven-year-old boy with AIDS. They vow to find a cure for AIDS together and save Dexter's life in an eventful summer.",Peter Horton,"Brad Renfro, Aeryk Egan, Delphine French, Mona Powell",PG-13,Drama,7.7,The Cure
220,A man struggles to save his family from the strange and deadly occurrences in the castle they've inherited.,Stuart Gordon,"Jeffrey Combs, Barbara Crampton, Jonathan Fuller, Jessica Dollarhide",R,"Drama, Horror, Mystery",5.9,Castle Freak
222,"'Circle Of Friends' is set in 1950's Ireland. The movie focuses on Benny Hogan and her best friend, Eve Malone. The story centers around Benny and Eve as they enter student life at ...",Pat O'Connor,"Chris O'Donnell, Minnie Driver, Geraldine O'Rawe, Saffron Burrows",PG-13,"Drama, Romance",6.6,Circle of Friends
223,"A day in the lives of two convenience clerks named Dante and Randal as they annoy customers, discuss movies, and play hockey on the store roof.",Kevin Smith,"Brian O'Halloran, Jeff Anderson, Marilyn Ghigliotti, Lisa Spoonauer",R,Comedy,7.8,Clerks
224,"A psychiatrist must cure a young patient that presents himself as Don Juan, the greatest lover in the world.",Jeremy Leven,"Marlon Brando, Johnny Depp, Faye Dunaway, Géraldine Pailhas",PG-13,"Comedy, Drama, Romance",6.7,Don Juan DeMarco
225,"A computer specialist is sued for sexual harassment by a former lover turned boss who initiated the act forcefully, which threatens both his career and his personal life.",Barry Levinson,"Michael Douglas, Demi Moore, Donald Sutherland, Caroline Goodall",R,"Drama, Thriller",6.0,Disclosure
227,A tough cop teams up with a professional skydiver to capture a renegade computer hacker on the run from the law.,John Badham,"Wesley Snipes, Gary Busey, Yancy Butler, Michael Jeter",R,"Action, Adventure, Thriller",5.6,Drop Zone
228,"Johnny Destiny burns into Las Vegas in his hot Plymouth RoadRunner, stopping only to pick up a stranger stranded in the desert. But then, things aren't always as they seem. Anything can ...",Jack Baran,"Dylan McDermott, Nancy Travis, James Le Gros, Quentin Tarantino",R,"Crime, Comedy, Fantasy",4.5,Destiny Turns on the Radio
229,A political activist is convinced that her guest is a man who once tortured her for the government.,Roman Polanski,"Sigourney Weaver, Ben Kingsley, Stuart Wilson, Krystia Mova",R,"Drama, Mystery, Thriller",7.3,Death and the Maiden
230,A big-city reporter travels to the small town where her mother has been arrested for the murder of an elderly woman that she works for as a maid.,Taylor Hackford,"Kathy Bates, Jennifer Jason Leigh, Judy Parfitt, Christopher Plummer",R,"Crime, Drama, Mystery",7.4,Dolores Claiborne
231,The cross-country adventures of 2 good-hearted but incredibly stupid friends.,"Peter Farrelly, Bobby Farrelly","Jim Carrey, Jeff Daniels, Lauren Holly, Mike Starr",PG-13,Comedy,7.3,Dumb and Dumber
232,A senior chef lives with his three grown daughters; the middle one finds her future plans affected by unexpected events and the life changes of the other household members.,Ang Lee,"Sihung Lung, Yu-Wen Wang, Chien-Lien Wu, Kuei-Mei Yang",NOT RATED,"Comedy, Drama, Romance",7.8,Eat Drink Man Woman
233,A man whose daughter recently died becomes obsessed with a dancer in the night club Exotica.,Atom Egoyan,"Bruce Greenwood, Mia Kirshner, Don McKellar, Elias Koteas",R,Drama,7.1,Exotica
234,"Elliot is going to the island of Eden to live out his submissive fantasies, but inadvertently photographs diamond smugglers at work. Smugglers, and detectives, follow him to the island, ...",Garry Marshall,"Dana Delany, Paul Mercurio, Rosie O'Donnell, Dan Aykroyd",R,"Comedy, Crime, Romance",4.1,Exit to Eden
235,"Ambitious but troubled movie director Edward D. Wood Jr. tries his best to fulfill his dreams, despite his lack of support.",Tim Burton,"Johnny Depp, Martin Landau, Sarah Jessica Parker, Patricia Arquette",R,"Biography, Comedy, Drama",7.9,Ed Wood
236,"A woman flies to France to confront her straying fiancé, but gets into trouble when the charming crook seated next to her uses her for smuggling.",Lawrence Kasdan,"Meg Ryan, Kevin Kline, Timothy Hutton, Jean Reno",PG-13,"Comedy, Drama, Romance",6.6,French Kiss
237,"Mickey Gordon is a basketball referee who travels to France to bury his father. Ellen Andrews, an American living in Paris, works for the airline Mickey flies on. They meet and fall in love...",Billy Crystal,"Billy Crystal, Debra Winger, Joe Mantegna, Cynthia Stevenson",PG-13,"Comedy, Romance",6.4,Forget Paris
238,"Teenage Angus adopts a stray dog and names him Yellow. Several days later, while traveling along the coast of British Columbia with Angus' father, John, the boy and dog become stranded when...",Phillip Borsos,"Mimi Rogers, Bruce Davison, Jesse Bradford, Tom Bower",PG,"Adventure, Family",6.4,Far from Home: The Adventures of Yellow Dog
239,"When Max makes a preposterous promise to a girl he has a crush on, his chances to fulfilling it seem hopeless when he is dragged onto a cross-country trip with his embarrassing father, Goofy.",Kevin Lima,"Bill Farmer, Jason Marsden, Jim Cummings, Kellie Martin",G,"Animation, Adventure, Comedy",6.8,A Goofy Movie
240,Hatch Harrison had a traffic accident with his car. At first the doctors said he was dead but then they succeeded to bring him back to life after two hours. But Hatch starts to have strange...,Brett Leonard,"Jeff Goldblum, Christine Lahti, Alicia Silverstone, Jeremy Sisto",R,"Fantasy, Horror, Thriller",5.3,Hideaway
241,"After a man dies in a car crash, he is reincarnated as a dog and attempts to reconnect with his family.",Carlo Carlei,"Samuel L. Jackson, Matthew Modine, Nancy Travis, Eric Stoltz",PG,"Drama, Family, Fantasy",6.7,Fluke
242,"Farinelli, is the artistic name of Carlo Broschi, a young singer in Handel's time. He was castrated in his childhood in order to preserve his voice. During his life he becomes to be a very ...",Gérard Corbiau,"Stefano Dionisi, Enrico Lo Verso, Elsa Zylberstein, Jeroen Krabbé",R,"Biography, Drama, Music",6.9,Farinelli
243,A talking pig named Gordy becomes involved in a quest to save his family from the slaughterhouse.,Mark Lewis,"Doug Stone, Kristy Young, James Donadio, Deborah Hobart",G,"Comedy, Drama, Family",3.9,Gordy
244,"In this offshoot of the 1950s ""claymation"" cartoon series, the crazy Blockheads threaten to ruin Gumby's benefit concert by replacing the entire city of Clokeytown with robots.",Art Clokey,"Dal McKennon, Art Clokey, Gloria Clokey, Manny La Carruba",G,"Animation, Action, Adventure",6.3,Gumby: The Movie
245,"Two cops: one black and the other female, become compelled to act against corruption and discrimination within their police precinct.",Charles Burnett,"Erich Anderson, Richard Anderson, Thomas Babson, Monty Bane",PG-13,"Crime, Drama",6.6,The Glass Shield
246,A film following the lives of two inner-city Chicago boys who struggle to become college basketball players on the road to going professional.,Steve James,"William Gates, Arthur Agee, Emma Gates, Curtis Gates",PG-13,"Documentary, Drama, Sport",8.3,Hoop Dreams
247,"Two girls have an intense fantasy life; their parents, concerned the fantasy is too intense, separate them, and the girls take revenge.",Peter Jackson,"Melanie Lynskey, Kate Winslet, Sarah Peirse, Diana Kent",R,"Biography, Crime, Drama",7.4,Heavenly Creatures
248,"In hot water with the mob over an unpaid debt, a con man poses as a family friend in an affluent Pennsylvania suburb.",Randall Miller,"Sinbad, Phil Hartman, Kim Greist, Kim Murphy",PG,Comedy,5.9,Houseguest
249,"The life and death of the legendary Ludwig van Beethoven. Besides all the work he is known for, the composer once wrote a famous love letter to a nameless beloved, and the movie tries to ...",Bernard Rose,"Gary Oldman, Jeroen Krabbé, Isabella Rossellini, Johanna ter Steege",R,"Biography, Drama, Music",7.5,Immortal Beloved
250,"Plump kids are lured into joining a posh fat camp with the promise of quick weight loss and good times, only to find that the facility is a woodland hellhole run by a psycho ex-fitness instructor.",Steven Brill,"David Goldman, Joseph Wayne Miller, Cody Burger, Allen Covert",PG,"Comedy, Drama, Family",6.7,Heavy Weights
251,"Paul is on a business trips to Nagoya, as a computer-chip executive from New York, when he meets a beautiful and mysterious woman. Later, he finds himself in the wrong place at the wrong ...",J.F. Lawton,"Christopher Lambert, John Lone, Joan Chen, Yoshio Harada",R,"Action, Drama, Thriller",6.0,The Hunted
252,"A mechanic romances the mathematician niece of physicist Albert Einstein, with help from Einstein and his friends.",Fred Schepisi,"Tim Robbins, Meg Ryan, Walter Matthau, Lou Jacobi",PG,"Comedy, Romance",6.2,I.Q.
253,"A vampire tells his epic life story: love, betrayal, loneliness, and hunger.",Neil Jordan,"Brad Pitt, Christian Slater, Virginia McCollam, John McConnell",R,"Drama, Horror",7.6,Interview with the Vampire: The Vampire Chronicles
254,"One of the obsessive speculations in American history is whether Thomas Jefferson, in the years before he became president, had an affair with (and fathered a child with) his 15-year-old ...",James Ivory,"Nick Nolte, Gwyneth Paltrow, Estelle Eonnet, Thandie Newton",PG-13,"Biography, Drama, History",5.7,Jefferson in Paris
255,"When two unemployed telephone pranksters decide to use their vocal ""talents"" to impersonate a Chicago mob boss and curry favor with organized crime in New York, the trouble begins. It isn't...",James Melkonian,"John G. Brennan, Kamal Ahmed, Alan Arkin, William Hickey",R,"Comedy, Crime",4.6,The Jerky Boys
256,"As part of a fertility research project, a male scientist agrees to carry a pregnancy in his own body.",Ivan Reitman,"Arnold Schwarzenegger, Danny DeVito, Emma Thompson, Frank Langella",PG-13,"Comedy, Romance, Sci-Fi",4.6,Junior
257,A Harvard professor is lured back into the courtroom after 25 years to take the case of a young black man condemned to death for the horrific murder of a child.,Arne Glimcher,"Sean Connery, Laurence Fishburne, Kate Capshaw, Blair Underwood",R,"Action, Crime, Drama",6.4,Just Cause
258,A Little League player is sent back into medieval times where he is given the task of saving Camelot.,Michael Gottlieb,"Thomas Ian Nicholas, Joss Ackland, Art Malik, Paloma Baeza",PG,"Adventure, Comedy, Family",4.8,A Kid in King Arthur's Court
259,A reformed convict goes undercover with the help of an angry detective to ensnare a psychotic mobster.,Barbet Schroeder,"David Caruso, Samuel L. Jackson, Nicolas Cage, Helen Hunt",R,"Action, Crime, Thriller",5.9,Kiss of Death
260,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle-station, while also attempting to rescue Princess Leia from the evil Darth Vader.",George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher, Peter Cushing",PG,"Action, Adventure, Fantasy",8.6,Star Wars: Episode IV - A New Hope
261,The March sisters live and grow in post-Civil War America.,Gillian Armstrong,"Winona Ryder, Gabriel Byrne, Trini Alvarado, Samantha Mathis",PG,"Drama, Family, Romance",7.3,Little Women
262,A young girl is relegated to servitude at a boarding school when her father goes missing and is presumed dead.,Alfonso Cuarón,"Liesel Matthews, Eleanor Bron, Liam Cunningham, Rusty Schwimmer",G,"Drama, Family, Fantasy",7.7,A Little Princess
263,This Ken Loach docu-drama relates the story of a British woman's fight with Social Services over the care of her children. Maggie has a history of bouncing from one abusive relationship to ...,Ken Loach,"Crissy Rock, Vladimir Vega, Sandie Lavelle, Mauricio Venegas",R,Drama,7.5,Ladybird Ladybird
264,"Paul, an irritable and stressed-out hotel manager, begins to gradually develop paranoid delusions about his wife's infidelity. As he succumbs to green-eyed jealousy, his life starts to ...",Claude Chabrol,"Emmanuelle Béart, François Cluzet, Nathalie Cardone, André Wilms",NOT RATED,"Crime, Drama, Thriller",7.2,L'Enfer
265,"When tradition prevents her from marrying the man she loves, a young woman discovers she has a unique talent for cooking.",Alfonso Arau,"Marco Leonardi, Lumi Cavazos, Regina Torné, Mario Iván Martínez",R,"Drama, Romance",7.2,Like Water for Chocolate
266,"In the early 1900s, three brothers and their father living in the remote wilderness of Montana are affected by betrayal, history, love, nature, and war.",Edward Zwick,"Brad Pitt, Anthony Hopkins, Aidan Quinn, Julia Ormond",R,"Drama, Romance, War",7.5,Legends of the Fall
267,"A recently discharged Major, finds himself commanding a group of mismatched Cadets.",Nick Castle,"Damon Wayans, Michael Ironside, Scott Bigelow, Joseph Blaire",PG-13,"Adventure, Comedy, Family",6.2,Major Payne
268,Early 1990s drama about a family of Soviet Jews living in Brooklyn's Brighton Beach ocean-side neighborhood nicknamed Little Odessa.,James Gray,"Tim Roth, Edward Furlong, Moira Kelly, Vanessa Redgrave",R,"Crime, Drama",6.8,Little Odessa
269,"Mousie and Sad Girl are childhood best friends in a contemporary Los Angeles poor Hispanic neighborhood. But when Sad Girl becomes pregnant by Mousie's boyfriend, a drug dealer named ...",Allison Anders,"Angel Aviles, Seidy Lopez, Jacob Vargas, Devine",R,"Crime, Drama",6.5,Mi vida loca
270,"Ex-football star Mike Gambril meets Terry McKay on a flight to Sydney, which is forced to land on a small atoll. Both engaged to others, they become romantic on board the ship sent to take ...",Glenn Gordon Caron,"Warren Beatty, Annette Bening, Katharine Hepburn, Garry Shandling",PG-13,"Comedy, Drama, Romance",5.9,Love Affair
271,"The natural and adoptive mothers of a young boy are involved in a bitter, controversial custody battle.",Stephen Gyllenhaal,"Jessica Lange, Halle Berry, David Strathairn, Cuba Gooding Jr.",R,Drama,6.4,Losing Isaiah
272,"When King George III goes mad, his lieutenants try to adjust the rules to run the country without his participation.",Nicholas Hytner,"Rupert Graves, Helen Mirren, Amanda Donohoe, Charlotte Curley",PG-13,"Biography, Comedy, Drama",7.2,The Madness of King George
273,"When the brilliant but unorthodox scientist Dr. Victor Frankenstein rejects the artificial man that he has created, the Creature escapes and later swears revenge.",Kenneth Branagh,"Robert De Niro, Kenneth Branagh, Tom Hulce, Helena Bonham Carter",R,"Drama, Horror, Romance",6.4,Mary Shelley's Frankenstein
274,"A young boy refuses to accept his mother's new boyfriend, a lawyer, despite the man's attempts to win his respect, while disgruntled relatives of a criminal he prosecuted seek revenge.",James Orr,"Chevy Chase, Farrah Fawcett, Jonathan Taylor Thomas, George Wendt",PG,"Comedy, Family",5.1,Man of the House
275,The events focus around a crisis hotline business on one crazy night during the Christmas holidays.,Nora Ephron,"Steve Martin, Madeline Kahn, Robert Klein, Anthony LaPaglia",PG-13,"Comedy, Drama",5.4,Mixed Nuts
276,"A group of young boys befriend a prostitute named, V.",Richard Benjamin,"Melanie Griffith, Ed Harris, Michael Patrick Carter, Malcolm McDowell",PG-13,"Comedy, Romance",5.5,Milk Money
277,A lawyer and a little girl must prove that a man claiming to be Santa Claus is the real thing.,Les Mayfield,"Richard Attenborough, Elizabeth Perkins, Dylan McDermott, J.T. Walsh",PG,"Family, Fantasy",6.5,Miracle on 34th Street
278,"Gwyn Marcus has always wanted a marriage like her parents. She has just accepted the proposal of her boyfriend Matt, but she has misgivings about their future together. Her fear of ...",David Frankel,"Sarah Jessica Parker, Gil Bellows, Antonio Banderas, Mia Farrow",PG-13,Comedy,5.4,Miami Rhapsody
279,"This epic film traces over three generations an immigrant family's trials, tribulations, tragedies and triumphs. Jose and Maria, the first generation, come to Los Angeles, meet, marry, face...",Gregory Nava,"Edward James Olmos, Rafael Cortes, Ivette Reina, Amelia Zapata",R,Drama,7.3,My Family
280,An eager and idealistic young attorney defends an Alcatraz prisoner accused of murdering a fellow inmate. The extenuating circumstances: his client had just spent over three years in solitary confinement.,Marc Rocco,"Christian Slater, Kevin Bacon, Gary Oldman, Embeth Davidtz",R,"Drama, Thriller",7.3,Murder in the First
281,A stubborn man past his prime reflects on his life of strict independence and seeks more out of himself.,Robert Benton,"Paul Newman, Jessica Tandy, Bruce Willis, Melanie Griffith",R,"Comedy, Drama",7.4,Nobody's Fool
282,"In a remote woodland cabin, a small town doctor discovers Nell - a beautiful young hermit woman with many secrets.",Michael Apted,"Jodie Foster, Liam Neeson, Natasha Richardson, Richard Libertini",PG-13,Drama,6.5,Nell
283,"Jason and Midget are two young, black teenagers living in Newark,New Jersey, the unofficial car theft capital of the world. Their favourite pastime is that of everybody in their ...",Nick Gomez,"Shar-Ron Corley, Gabriel Casseus, Saul Stein, Gwen McGee",R,"Crime, Drama",6.7,New Jersey Drive
285,"Dr. Stephanie Lyell works for Neurological Research, and is testing a seemingly safe personality-altering drug on Marc Gilmour a notorious Serial Killer. But when a pair of bizarre suicides...",Vadim Jean,"Craig Fairbrass, Elizabeth Hurley, Keith Allen, Anita Dobson",R,"Comedy, Horror",3.4,Beyond Bedlam
287,"When Ninas husband goes off for a few weeks to work, she meets and starts seeing a photographer. This story is told as an interview by a journalist writing about adultery who is talking ...",Alan Jacobs,"Laura San Giacomo, Paul Rhys, Michael O'Keefe, Cristi Conaway",R,"Comedy, Romance",5.6,Nina Takes a Lover
288,Two victims of traumatized childhoods become lovers and psychopathic serial murderers irresponsibly glorified by the mass media.,Oliver Stone,"Woody Harrelson, Juliette Lewis, Tom Sizemore, Rodney Dangerfield",R,"Crime, Drama",7.3,Natural Born Killers
289,"Destiny. Faith (Marisa Tomei) believes that two soul-mates can be united if they find each other. From the Ouija board, she has found the name of her missing half, and it is D-A-M-O-N ...",Norman Jewison,"Marisa Tomei, Robert Downey Jr., Bonnie Hunt, Joaquim de Almeida",PG,"Comedy, Romance",6.5,Only You
290,A family descended from Maori warriors is bedeviled by a violent father and the societal problems of being treated as outcasts.,Lee Tamahori,"Rena Owen, Temuera Morrison, Mamaengaroa Kerr-Bell, Julian Arahanga",R,"Crime, Drama",7.9,Once Were Warriors
291,Lily is a sheltered art student from Michigan going to school in California. She finds an apartment and her roommates aren't quite normal. One day she finds a box of items belonging to a ...,Anne Goursaud,"Alyssa Milano, Johnathon Schaech, Xander Berkeley, Belinda Bauer",R,"Drama, Thriller",4.4,Poison Ivy II
292,Army doctors struggle to find a cure for a deadly virus spreading throughout a California town that was brought to America by an African monkey.,Wolfgang Petersen,"Dustin Hoffman, Rene Russo, Morgan Freeman, Kevin Spacey",R,"Action, Drama, Thriller",6.6,Outbreak
293,"Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. Léon and Mathilda form an unusual relationship, as she becomes his protégée and learns the assassin's trade.",Luc Besson,"Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello",R,"Crime, Drama, Thriller",8.6,Léon: The Professional
294,"In an attempt to secure a sponsor, an unlikely group of Cuban refugees become a ""family"" as the U.S. Immigration and Naturalization Service gives families priority over others. In the ...",Mira Nair,"Marisa Tomei, Alfred Molina, Anjelica Huston, Chazz Palminteri",R,"Comedy, Romance, Drama",6.1,The Perez Family
295,A pastry boy and the son of a hair-piece mogul become involved in an arson scandal. Sergio is offered a bribe in exchange for taking the blame for the fire that destroys his workplace. ...,Joshua Brand,"William Baldwin, John Leguizamo, Sadie Frost, Erika Eleniak",PG,"Comedy, Romance",5.4,A Pyromaniac's Love Story
296,"The lives of two mob hitmen, a boxer, a gangster's wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",Quentin Tarantino,"Tim Roth, Amanda Plummer, Laura Lovelace, John Travolta",R,"Crime, Drama",8.9,Pulp Fiction
299,"Father Greg Pilkington (Linus Roache) is torn between his call as a conservative Catholic priest and his secret life as a homosexual with a gay lover, frowned upon by the Church. Upon ...",Antonia Bird,"Linus Roache, Tom Wilkinson, Robert Carlyle, Cathy Tyson",R,"Drama, Romance",7.1,Priest
300,"A young lawyer, Richard Goodwin, investigates a potentially fixed game show. Charles Van Doren, a big time show winner, is under Goodwin's investigation.",Robert Redford,"John Turturro, Rob Morrow, Ralph Fiennes, Paul Scofield",PG-13,"Biography, Drama, History",7.5,Quiz Show
301,Riyo marries a man more than twice her age. She is devastated and labors in the sugar cane field. At the end she is able to love her husband.,Kayo Hatta,"Yûki Kudô, Cary-Hiroyuki Tagawa, Tamlyn Tomita, Akira Takayama",PG-13,"Drama, Romance",6.8,Picture Bride
302,"Young Queen Margot finds herself trapped in an arranged marriage amidst a religious war between Catholics and Protestants. She hopes to escape with a new lover, but finds herself imprisoned by her powerful and ruthless family.",Patrice Chéreau,"Isabelle Adjani, Daniel Auteuil, Jean-Hugues Anglade, Vincent Perez",R,"Biography, Drama, History",7.5,Queen Margot
303,"A female gunfighter returns to a frontier town where a dueling tournament is being held, which she enters in an effort to avenge her father's death.",Sam Raimi,"Sharon Stone, Gene Hackman, Russell Crowe, Leonardo DiCaprio",R,"Action, Romance, Thriller",6.4,The Quick and the Dead
304,"An elderly yet young-at-heart man moves in with his grandson, and both their lives turn upside-down.",Peter Yates,"Peter Falk, D.B. Sweeney, Julianne Moore, Ellen Burstyn",PG,"Comedy, Drama",6.4,Roommates
305,A chronicle of the interconnected lives of a group of people in the lead up to Paris Fashion Week.,Robert Altman,"Marcello Mastroianni, Sophia Loren, Jean-Pierre Cassel, Kim Basinger",R,"Comedy, Drama",5.0,Ready to Wear
306,A model discovers her neighbor is keen on invading people's privacy.,Krzysztof Kieslowski,"Irène Jacob, Jean-Louis Trintignant, Frédérique Feder, Jean-Pierre Lorit",R,"Drama, Mystery, Romance",8.1,Three Colors: Red
307,A woman struggles to find a way to live her life after the death of her husband and child.,Krzysztof Kieslowski,"Juliette Binoche, Benoît Régent, Florence Pernel, Charlotte Véry",R,"Drama, Music, Mystery",8.0,Three Colors: Blue
308,"After his wife divorces him, a Polish immigrant plots to get even with her.",Krzysztof Kieslowski,"Zbigniew Zamachowski, Julie Delpy, Janusz Gajos, Jerzy Stuhr",R,"Comedy, Drama, Romance",7.7,Three Colors: White
309,"A woman inherits her father's fireworks factory, as he had no son. The business does well and everything works in an orderly fashion until one day, an itinerant painter is hired to decorate...",Ping He,"Jing Ning, Gang Wu, Xiaorui Zhao, Yang Gao",R,"Drama, Romance",7.0,"Red Firecracker, Green Firecracker"
312,A self-help advocate struggles to put his dysfunctional family in its place.,Harold Ramis,"Al Franken, Laura San Giacomo, Vincent D'Onofrio, Shirley Knight",PG-13,"Comedy, Drama",5.3,Stuart Saves His Family
313,A power hungry sorcerer transforms a princess into a swan by day in this tale of everlasting love.,Richard Rich,"Jack Palance, Howard McGillin, Michelle Nicastro, Liz Callaway",G,"Animation, Comedy, Family",6.5,The Swan Princess
314,Young Fiona lives with her grandparents in a small fishing village where she takes and active role to unravel the mysterious secrets.,John Sayles,"Jeni Courtney, Pat Slowey, Dave Duffy, Declan Hannigan",PG,"Drama, Family, Fantasy",7.5,The Secret of Roan Inish
315,A woman entices a bomb expert she's involved with into destroying the mafia that killed her family.,Luis Llosa,"Sylvester Stallone, Sharon Stone, James Woods, Rod Steiger",R,"Action, Crime, Drama",5.5,The Specialist
316,"An interstellar teleportation device, found in Egypt, leads to a planet with humans resembling ancient Egyptians who worship the god Ra.",Roland Emmerich,"Kurt Russell, James Spader, Jaye Davidson, Viveca Lindfors",PG-13,"Action, Adventure, Sci-Fi",7.1,Stargate
317,"When a man inadvertantly kills Santa on Christmas Eve, he finds himself magically recruited to take his place.",John Pasquin,"Tim Allen, Judge Reinhold, Wendy Crewson, Eric Lloyd",PG,"Comedy, Drama, Family",6.4,The Santa Clause
318,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler",R,"Crime, Drama",9.3,The Shawshank Redemption
319,Three friends discover their new flatmate dead but loaded with cash.,Danny Boyle,"Kerry Fox, Christopher Eccleston, Ewan McGregor, Ken Stott",R,"Crime, Thriller",7.3,Shallow Grave
320,"After his brother tries to kill him, a man survives only to find himself in another man's body.","Scott McGehee, David Siegel","Dennis Haysbert, Mel Harris, Sab Shimono, Dina Merrill",NOT RATED,"Drama, Thriller",6.6,Suture
